"Costs for inland shipping","Costi per spedizioni nel proprio paese"
"Costs for shipping to foreign countries","Costi per spedizioni all'estero"
"Custom text for checkout page","Testo personalizzato per la pagina checkout"
"Cash on Delivery","Contrassegno"
"Cash on Delivery fee","Costo del contrassegno"
"You will be charged an extra fee of %s.","Il costo del servizio di contrassegno è: %s."
"Incl. Tax","Tasse inc."
"Cash on Delivery fee (Excl.Tax)","Costo del contrassegno (Tasse esc.)"
"Cash on Delivery fee (Incl.Tax)","Costo del contrassegno (Tasse inc.)"
"Cash on Delivery fee %s","Costo del contrassegno: %s"
"Cash on Delivery fee include tax", "Il costo del contrassegno include le tasse"
"Refund Cash on Delivery fee","Restituisci il costo del contrassegno"
"New order status", "Stato nuovo ordine"
"Sort order", "Ordinamento"
"Shipment to applicable countries", "Spedizione da paesi applicabili"
"Instructions", "Istruzioni",
"Shipment to Specific countries", "Spedizione da paesi specifici"
"Disallow specific shipping methods", "Non consentire metodi di spedizione specifici"
"Disallowed shipping methods", "Metodi di spedizione non consentiti"
"Display Cod Fee", "Visualizza prezzo del contrassegno"
"Display Zero Fee", "Visualizza riepilogo tassa se zero"
"Tax Class for Cash on Delivery Fee", "Classe tasse per il contrassegno"
